Time Period,period start date,Payer Name,Payer Segment,Channel,Line of therapy,HCO Territory,HCO Region,HCO Area,HCO Nation,drug name,class,claims count,paid claims count,reverse claim count,rejected claim count,reject reason,Patient Count
M11,8/1/2025,Prime Therapeutics,PBM,Pharmacy Benefit,2L,Washington_State,Washington,West,US,Skyrizi,IL-23,254,168,46,40,Refill Too Soon,193
M5,2/1/2026,Humana,Commercial,Medicare Advantage,1L,Texas_North,Texas,North,US,Humira,TNF,727,118,24,585,Prior Authorization Required,509
M3,4/1/2026,Elevance Health (Anthem),Commercial,Managed Care,3L+,Virginia_North,Virginia,West,US,Humira,TNF,153,83,41,29,Refill Too Soon,115
M4,3/1/2026,Optum Rx,PBM,Pharmacy Benefit,1L,Texas_South,Texas,North,US,Stelara,IL-12/23,810,138,31,641,Prior Authorization Required,559
M3,4/1/2026,Express Scripts,PBM,Pharmacy Benefit,1L,Washington_State,Washington,West,US,ILUMYA,IL-23,336,90,38,208,Authorization Denied,242
M10,9/1/2025,WellCare,Medicare/Medicaid,Medicare Advantage,2L,Texas_South,Texas,North,US,Cosentyx,IL-17A,319,258,30,31,Prior Authorization Required,262
M4,3/1/2026,Health Care Service Corporation,Commercial,Managed Care,1L,Texas_North,Texas,North,US,ILUMYA,IL-23,560,57,16,487,Authorization Denied,381
M4,3/1/2026,Florida Blue,Regional Health Plan,Managed Care,2L,Tennessee_Nashville,Tennessee,West,US,Stelara,IL-12/23,230,100,50,80,Authorization Denied,196
M2,5/1/2026,Independence Blue Cross,Regional Health Plan,Managed Care,1L,Texas_North,Texas,North,US,Stelara,IL-12/23,742,205,15,522,Medical Records Requested,638
M12,7/1/2025,Florida Blue,Regional Health Plan,Managed Care,2L,Texas_South,Texas,North,US,Tremfya,IL-23,176,154,0,22,Authorization Denied,114
M12,7/1/2025,Independence Blue Cross,Regional Health Plan,Managed Care,1L,Texas_South,Texas,North,US,Skyrizi,IL-23,114,56,17,41,Medical Records Requested,75
M1,6/1/2026,Express Scripts,PBM,Pharmacy Benefit,2L,Texas_North,Texas,North,US,Cosentyx,IL-17A,686,474,13,199,Authorization Denied,508
M7,12/1/2025,Florida Blue,Regional Health Plan,Managed Care,3L+,Texas_South,Texas,North,US,BIMZLEX,IL-17A & IL-17F,737,317,35,385,Medical Records Requested,612
M7,12/1/2025,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,1L,Virginia_South,Virginia,East,US,Cosentyx,IL-17A,711,429,9,273,Medical Records Requested,590
M3,4/1/2026,UnitedHealthcare,Commercial,Managed Care,2L,Tennessee_Nashville,Tennessee,West,US,Stelara,IL-12/23,469,419,35,15,Refill Too Soon,403
M12,7/1/2025,Medicare FFS,Government,Medicare,3L+,Virginia_North,Virginia,West,US,Humira,TNF,993,868,45,80,Medical Records Requested,665
M12,7/1/2025,Health Care Service Corporation,Commercial,Managed Care,1L,Virginia_North,Virginia,West,US,BIMZLEX,IL-17A & IL-17F,167,105,13,49,Refill Too Soon,132
M5,2/1/2026,EmblemHealth,Regional Health Plan,Managed Care,2L,Tennessee_Nashville,Tennessee,West,US,Stelara,IL-12/23,185,97,43,45,Referral Required,133
M9,10/1/2025,Health Care Service Corporation,Commercial,Managed Care,2L,Texas_North,Texas,North,US,Tremfya,IL-23,405,362,28,15,Prior Authorization Required,344
M6,1/1/2026,WellCare,Medicare/Medicaid,Medicare Advantage,2L,Texas_North,Texas,North,US,ILUMYA,IL-23,361,75,46,240,Refill Too Soon,285
M10,9/1/2025,Prime Therapeutics,PBM,Pharmacy Benefit,2L,Tennessee_Nashville,Tennessee,West,US,ILUMYA,IL-23,312,277,26,9,Medical Records Requested,240
M2,5/1/2026,Blue Cross Blue Shield,Commercial,Managed Care,2L,Virginia_North,Virginia,West,US,BIMZLEX,IL-17A & IL-17F,272,202,29,41,Referral Required,245
M8,11/1/2025,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,3L+,Washington_State,Washington,West,US,BIMZLEX,IL-17A & IL-17F,938,770,11,157,Authorization Denied,722
M8,11/1/2025,Health Care Service Corporation,Commercial,Managed Care,3L+,Virginia_South,Virginia,East,US,BIMZLEX,IL-17A & IL-17F,423,192,30,201,Authorization Denied,338
M11,8/1/2025,Molina Healthcare,Medicaid Managed Care,Medicaid,1L,Washington_State,Washington,West,US,Stelara,IL-12/23,582,320,45,217,Authorization Denied,431
M1,6/1/2026,TRICARE,Government,Federal,3L+,Tennessee_Nashville,Tennessee,West,US,Skyrizi,IL-23,846,661,11,174,Medical Records Requested,694
M9,10/1/2025,Medicare FFS,Government,Medicare,1L,Texas_North,Texas,North,US,Cosentyx,IL-17A,713,362,5,346,Refill Too Soon,642
M7,12/1/2025,Humana,Commercial,Medicare Advantage,1L,Virginia_South,Virginia,East,US,ILUMYA,IL-23,427,382,1,44,Referral Required,307
M12,7/1/2025,Humana,Commercial,Medicare Advantage,3L+,Virginia_South,Virginia,East,US,Tremfya,IL-23,176,135,34,7,Referral Required,123
M9,10/1/2025,Blue Cross Blue Shield,Commercial,Managed Care,2L,Tennessee_Nashville,Tennessee,West,US,BIMZLEX,IL-17A & IL-17F,350,286,15,49,Prior Authorization Required,301
M5,2/1/2026,Elevance Health (Anthem),Commercial,Managed Care,3L+,Tennessee_Nashville,Tennessee,West,US,BIMZLEX,IL-17A & IL-17F,865,302,46,517,Refill Too Soon,735
M12,7/1/2025,UnitedHealthcare,Commercial,Managed Care,3L+,Texas_South,Texas,North,US,Stelara,IL-12/23,365,177,21,167,Refill Too Soon,321
M10,9/1/2025,CareSource,Medicaid Managed Care,Medicaid,2L,Virginia_North,Virginia,West,US,BIMZLEX,IL-17A & IL-17F,762,486,16,260,Authorization Denied,564
M3,4/1/2026,CVS Caremark,PBM,Pharmacy Benefit,3L+,Virginia_South,Virginia,East,US,Tremfya,IL-23,538,367,32,139,Refill Too Soon,484
M2,5/1/2026,UnitedHealthcare,Commercial,Managed Care,3L+,Virginia_North,Virginia,West,US,Cosentyx,IL-17A,778,559,41,178,Prior Authorization Required,560
M8,11/1/2025,Cigna Healthcare,Commercial,Managed Care,3L+,Tennessee_Nashville,Tennessee,West,US,Stelara,IL-12/23,345,70,17,258,Referral Required,235
M11,8/1/2025,Medicaid State Plans,Government,Medicaid,3L+,Texas_South,Texas,North,US,Humira,TNF,898,132,43,723,Prior Authorization Required,611
M7,12/1/2025,Humana,Commercial,Medicare Advantage,1L,Texas_North,Texas,North,US,Stelara,IL-12/23,653,458,27,168,Authorization Denied,431
M10,9/1/2025,Medicare FFS,Government,Medicare,2L,Washington_State,Washington,West,US,Cosentyx,IL-17A,757,688,16,53,Prior Authorization Required,606
M12,7/1/2025,Elevance Health (Anthem),Commercial,Managed Care,1L,Virginia_South,Virginia,East,US,Cosentyx,IL-17A,683,162,8,513,Medical Records Requested,444
M6,1/1/2026,WellCare,Medicare/Medicaid,Medicare Advantage,2L,Virginia_South,Virginia,East,US,ILUMYA,IL-23,220,89,21,110,Refill Too Soon,152
M7,12/1/2025,Molina Healthcare,Medicaid Managed Care,Medicaid,3L+,Tennessee_Nashville,Tennessee,West,US,Humira,TNF,963,873,8,82,Prior Authorization Required,780
M7,12/1/2025,WellCare,Medicare/Medicaid,Medicare Advantage,3L+,Texas_South,Texas,North,US,Skyrizi,IL-23,165,65,42,58,Authorization Denied,144
M6,1/1/2026,CareSource,Medicaid Managed Care,Medicaid,1L,Texas_South,Texas,North,US,Skyrizi,IL-23,802,164,37,601,Authorization Denied,610
M6,1/1/2026,CareSource,Medicaid Managed Care,Medicaid,3L+,Texas_North,Texas,North,US,Humira,TNF,665,169,28,468,Refill Too Soon,592
M4,3/1/2026,Medicaid State Plans,Government,Medicaid,2L,Tennessee_Nashville,Tennessee,West,US,Skyrizi,IL-23,110,71,1,38,Prior Authorization Required,81
M10,9/1/2025,Centene Corporation,Medicaid Managed Care,Medicaid,2L,Texas_South,Texas,North,US,Skyrizi,IL-23,351,67,19,265,Referral Required,235
M3,4/1/2026,CareSource,Medicaid Managed Care,Medicaid,1L,Washington_State,Washington,West,US,Skyrizi,IL-23,242,62,49,131,Authorization Denied,165
M10,9/1/2025,Medicare FFS,Government,Medicare,3L+,Texas_South,Texas,North,US,ILUMYA,IL-23,112,52,50,10,Authorization Denied,73
M12,7/1/2025,Prime Therapeutics,PBM,Pharmacy Benefit,1L,Virginia_North,Virginia,West,US,Stelara,IL-12/23,720,219,30,471,Referral Required,626
M9,10/1/2025,Centene Corporation,Medicaid Managed Care,Medicaid,1L,Texas_North,Texas,North,US,Cosentyx,IL-17A,542,276,14,252,Authorization Denied,434
M9,10/1/2025,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,1L,Washington_State,Washington,West,US,Cosentyx,IL-17A,299,143,29,127,Referral Required,239
M1,6/1/2026,Veterans Health Administration (VA),Government,Veterans/Federal,3L+,Tennessee_Nashville,Tennessee,West,US,Stelara,IL-12/23,704,448,7,249,Prior Authorization Required,584
M1,6/1/2026,Cigna Healthcare,Commercial,Managed Care,2L,Virginia_South,Virginia,East,US,Tremfya,IL-23,372,274,5,93,Refill Too Soon,290
M12,7/1/2025,Blue Cross Blue Shield,Commercial,Managed Care,3L+,Washington_State,Washington,West,US,Tremfya,IL-23,601,565,10,26,Authorization Denied,469
M1,6/1/2026,Humana,Commercial,Medicare Advantage,2L,Texas_South,Texas,North,US,Tremfya,IL-23,532,57,24,451,Referral Required,463
M2,5/1/2026,WellCare,Medicare/Medicaid,Medicare Advantage,3L+,Tennessee_Nashville,Tennessee,West,US,Humira,TNF,739,646,4,89,Refill Too Soon,606
M12,7/1/2025,Elevance Health (Anthem),Commercial,Managed Care,2L,Virginia_North,Virginia,West,US,Skyrizi,IL-23,771,385,42,344,Refill Too Soon,532
M9,10/1/2025,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,2L,Virginia_South,Virginia,East,US,Skyrizi,IL-23,517,324,20,173,Referral Required,429
M2,5/1/2026,Florida Blue,Regional Health Plan,Managed Care,2L,Virginia_North,Virginia,West,US,Humira,TNF,361,330,6,25,Referral Required,310
M7,12/1/2025,Highmark,Regional Health Plan,Managed Care,2L,Virginia_North,Virginia,West,US,Humira,TNF,382,278,46,58,Refill Too Soon,271
M3,4/1/2026,Elevance Health (Anthem),Commercial,Managed Care,2L,Washington_State,Washington,West,US,Cosentyx,IL-17A,785,632,23,130,Medical Records Requested,644
M8,11/1/2025,Centene Corporation,Medicaid Managed Care,Medicaid,1L,Tennessee_Nashville,Tennessee,West,US,ILUMYA,IL-23,867,744,4,119,Medical Records Requested,711
M4,3/1/2026,Prime Therapeutics,PBM,Pharmacy Benefit,2L,Virginia_South,Virginia,East,US,Skyrizi,IL-23,394,88,23,283,Medical Records Requested,315
M11,8/1/2025,EmblemHealth,Regional Health Plan,Managed Care,3L+,Washington_State,Washington,West,US,Tremfya,IL-23,347,103,48,196,Prior Authorization Required,278
M1,6/1/2026,Medicare FFS,Government,Medicare,3L+,Virginia_North,Virginia,West,US,Cosentyx,IL-17A,689,74,21,594,Authorization Denied,469
M5,2/1/2026,Molina Healthcare,Medicaid Managed Care,Medicaid,3L+,Washington_State,Washington,West,US,Tremfya,IL-23,693,208,41,444,Referral Required,499
M10,9/1/2025,Florida Blue,Regional Health Plan,Managed Care,2L,Texas_South,Texas,North,US,ILUMYA,IL-23,421,143,47,231,Prior Authorization Required,278
M3,4/1/2026,Veterans Health Administration (VA),Government,Veterans/Federal,1L,Virginia_South,Virginia,East,US,Humira,TNF,975,449,40,486,Refill Too Soon,848
M2,5/1/2026,Centene Corporation,Medicaid Managed Care,Medicaid,3L+,Tennessee_Nashville,Tennessee,West,US,Cosentyx,IL-17A,120,92,7,21,Authorization Denied,92
M9,10/1/2025,Elevance Health (Anthem),Commercial,Managed Care,3L+,Virginia_South,Virginia,East,US,Stelara,IL-12/23,187,93,27,67,Authorization Denied,165
M10,9/1/2025,TRICARE,Government,Federal,2L,Tennessee_Nashville,Tennessee,West,US,BIMZLEX,IL-17A & IL-17F,659,168,32,459,Referral Required,428
M6,1/1/2026,CVS Caremark,PBM,Pharmacy Benefit,3L+,Virginia_North,Virginia,West,US,Skyrizi,IL-23,589,361,49,179,Medical Records Requested,442
M5,2/1/2026,EmblemHealth,Regional Health Plan,Managed Care,1L,Virginia_North,Virginia,West,US,Humira,TNF,203,124,30,49,Referral Required,179
M2,5/1/2026,Highmark,Regional Health Plan,Managed Care,1L,Washington_State,Washington,West,US,ILUMYA,IL-23,134,78,46,10,Authorization Denied,110
M2,5/1/2026,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,1L,Texas_South,Texas,North,US,Stelara,IL-12/23,576,188,49,339,Referral Required,490
M4,3/1/2026,Cigna Healthcare,Commercial,Managed Care,3L+,Washington_State,Washington,West,US,Humira,TNF,103,62,0,41,Medical Records Requested,67
M9,10/1/2025,Highmark,Regional Health Plan,Managed Care,3L+,Virginia_South,Virginia,East,US,Cosentyx,IL-17A,137,109,21,7,Prior Authorization Required,119
M12,7/1/2025,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,1L,Virginia_South,Virginia,East,US,Stelara,IL-12/23,582,148,16,418,Referral Required,454
M3,4/1/2026,Medicare FFS,Government,Medicare,3L+,Texas_North,Texas,North,US,BIMZLEX,IL-17A & IL-17F,769,713,15,41,Referral Required,646
M7,12/1/2025,EmblemHealth,Regional Health Plan,Managed Care,2L,Virginia_South,Virginia,East,US,Skyrizi,IL-23,1000,730,30,240,Referral Required,890
M10,9/1/2025,WellCare,Medicare/Medicaid,Medicare Advantage,2L,Texas_North,Texas,North,US,Stelara,IL-12/23,764,425,16,323,Prior Authorization Required,611
M8,11/1/2025,EmblemHealth,Regional Health Plan,Managed Care,3L+,Washington_State,Washington,West,US,Cosentyx,IL-17A,725,302,46,377,Authorization Denied,645
M4,3/1/2026,WellCare,Medicare/Medicaid,Medicare Advantage,3L+,Tennessee_Nashville,Tennessee,West,US,BIMZLEX,IL-17A & IL-17F,323,180,21,122,Referral Required,275
M3,4/1/2026,Florida Blue,Regional Health Plan,Managed Care,3L+,Virginia_North,Virginia,West,US,Stelara,IL-12/23,213,145,24,44,Referral Required,151
M8,11/1/2025,Molina Healthcare,Medicaid Managed Care,Medicaid,2L,Texas_South,Texas,North,US,BIMZLEX,IL-17A & IL-17F,542,358,5,179,Referral Required,374
M3,4/1/2026,EmblemHealth,Regional Health Plan,Managed Care,3L+,Virginia_North,Virginia,West,US,Cosentyx,IL-17A,201,60,25,116,Prior Authorization Required,139
M10,9/1/2025,CareSource,Medicaid Managed Care,Medicaid,2L,Tennessee_Nashville,Tennessee,West,US,Cosentyx,IL-17A,658,552,50,56,Referral Required,467
M7,12/1/2025,Health Care Service Corporation,Commercial,Managed Care,1L,Texas_North,Texas,North,US,Cosentyx,IL-17A,808,432,46,330,Refill Too Soon,525
M7,12/1/2025,Aetna,Commercial,Managed Care,3L+,Virginia_South,Virginia,East,US,Tremfya,IL-23,468,64,22,382,Prior Authorization Required,421
M9,10/1/2025,Veterans Health Administration (VA),Government,Veterans/Federal,1L,Texas_North,Texas,North,US,Skyrizi,IL-23,134,92,35,7,Prior Authorization Required,95
M7,12/1/2025,Medicaid State Plans,Government,Medicaid,3L+,Texas_North,Texas,North,US,ILUMYA,IL-23,159,76,5,78,Prior Authorization Required,122
M10,9/1/2025,Molina Healthcare,Medicaid Managed Care,Medicaid,1L,Washington_State,Washington,West,US,Cosentyx,IL-17A,121,90,21,10,Medical Records Requested,83
M2,5/1/2026,Health Care Service Corporation,Commercial,Managed Care,3L+,Texas_South,Texas,North,US,Tremfya,IL-23,384,272,26,86,Referral Required,261
M6,1/1/2026,Medicare FFS,Government,Medicare,3L+,Tennessee_Nashville,Tennessee,West,US,BIMZLEX,IL-17A & IL-17F,251,140,28,83,Medical Records Requested,186
M4,3/1/2026,Florida Blue,Regional Health Plan,Managed Care,3L+,Virginia_South,Virginia,East,US,BIMZLEX,IL-17A & IL-17F,896,659,48,189,Prior Authorization Required,762
M5,2/1/2026,TRICARE,Government,Federal,2L,Virginia_South,Virginia,East,US,Skyrizi,IL-23,432,154,11,267,Prior Authorization Required,302
M7,12/1/2025,Aetna,Commercial,Managed Care,3L+,Texas_South,Texas,North,US,Tremfya,IL-23,204,176,0,28,Referral Required,145
M11,8/1/2025,Florida Blue,Regional Health Plan,Managed Care,3L+,Virginia_North,Virginia,West,US,Humira,TNF,896,834,40,22,Referral Required,708
M9,10/1/2025,Florida Blue,Regional Health Plan,Managed Care,2L,Virginia_North,Virginia,West,US,ILUMYA,IL-23,110,89,11,10,Medical Records Requested,99
M5,2/1/2026,UnitedHealthcare,Commercial,Managed Care,1L,Tennessee_Nashville,Tennessee,West,US,Stelara,IL-12/23,873,418,9,446,Medical Records Requested,742
M4,3/1/2026,Medicaid State Plans,Government,Medicaid,2L,Virginia_North,Virginia,West,US,Tremfya,IL-23,841,98,39,704,Prior Authorization Required,597
M8,11/1/2025,Elevance Health (Anthem),Commercial,Managed Care,1L,Washington_State,Washington,West,US,Humira,TNF,971,147,34,790,Medical Records Requested,845
M12,7/1/2025,Express Scripts,PBM,Pharmacy Benefit,3L+,Tennessee_Nashville,Tennessee,West,US,Humira,TNF,117,79,6,32,Referral Required,88
M11,8/1/2025,Elevance Health (Anthem),Commercial,Managed Care,2L,Texas_North,Texas,North,US,Cosentyx,IL-17A,316,237,38,41,Referral Required,275
M6,1/1/2026,Florida Blue,Regional Health Plan,Managed Care,1L,Tennessee_Nashville,Tennessee,West,US,Humira,TNF,795,519,24,252,Refill Too Soon,636
M8,11/1/2025,Cigna Healthcare,Commercial,Managed Care,3L+,Virginia_North,Virginia,West,US,Skyrizi,IL-23,234,131,46,57,Authorization Denied,208
M3,4/1/2026,Cigna Healthcare,Commercial,Managed Care,2L,Washington_State,Washington,West,US,BIMZLEX,IL-17A & IL-17F,654,319,20,315,Authorization Denied,497
M12,7/1/2025,Health Care Service Corporation,Commercial,Managed Care,1L,Texas_North,Texas,North,US,Skyrizi,IL-23,810,339,4,467,Prior Authorization Required,599
M10,9/1/2025,Prime Therapeutics,PBM,Pharmacy Benefit,3L+,Washington_State,Washington,West,US,ILUMYA,IL-23,337,268,46,23,Medical Records Requested,273
M3,4/1/2026,Cigna Healthcare,Commercial,Managed Care,1L,Virginia_South,Virginia,East,US,ILUMYA,IL-23,854,646,6,202,Referral Required,589
M8,11/1/2025,TRICARE,Government,Federal,2L,Texas_South,Texas,North,US,Stelara,IL-12/23,717,279,31,407,Medical Records Requested,631
M10,9/1/2025,Florida Blue,Regional Health Plan,Managed Care,2L,Texas_South,Texas,North,US,Tremfya,IL-23,698,362,25,311,Authorization Denied,558
M10,9/1/2025,Health Care Service Corporation,Commercial,Managed Care,1L,Virginia_South,Virginia,East,US,ILUMYA,IL-23,211,186,25,0,Medical Records Requested,137
M6,1/1/2026,Molina Healthcare,Medicaid Managed Care,Medicaid,1L,Washington_State,Washington,West,US,Cosentyx,IL-17A,608,252,16,340,Referral Required,468
M10,9/1/2025,Medicare FFS,Government,Medicare,1L,Tennessee_Nashville,Tennessee,West,US,Skyrizi,IL-23,812,131,14,667,Prior Authorization Required,560
M2,5/1/2026,Independence Blue Cross,Regional Health Plan,Managed Care,1L,Texas_North,Texas,North,US,Tremfya,IL-23,843,335,0,508,Authorization Denied,632
M8,11/1/2025,TRICARE,Government,Federal,1L,Texas_South,Texas,North,US,ILUMYA,IL-23,112,92,17,3,Medical Records Requested,83
M6,1/1/2026,Centene Corporation,Medicaid Managed Care,Medicaid,2L,Virginia_South,Virginia,East,US,Humira,TNF,866,64,18,784,Medical Records Requested,719
M10,9/1/2025,Medicaid State Plans,Government,Medicaid,3L+,Texas_North,Texas,North,US,Skyrizi,IL-23,484,263,43,178,Prior Authorization Required,392
M5,2/1/2026,CVS Caremark,PBM,Pharmacy Benefit,1L,Texas_South,Texas,North,US,Humira,TNF,320,99,19,202,Refill Too Soon,269
M11,8/1/2025,Elevance Health (Anthem),Commercial,Managed Care,2L,Texas_South,Texas,North,US,Tremfya,IL-23,533,469,23,41,Medical Records Requested,357
M11,8/1/2025,Optum Rx,PBM,Pharmacy Benefit,1L,Tennessee_Nashville,Tennessee,West,US,Skyrizi,IL-23,852,278,37,537,Prior Authorization Required,588
M9,10/1/2025,Florida Blue,Regional Health Plan,Managed Care,3L+,Tennessee_Nashville,Tennessee,West,US,Humira,TNF,922,439,4,479,Referral Required,738
M2,5/1/2026,Medicare FFS,Government,Medicare,3L+,Tennessee_Nashville,Tennessee,West,US,ILUMYA,IL-23,164,83,6,75,Medical Records Requested,134
M10,9/1/2025,Blue Cross Blue Shield,Commercial,Managed Care,2L,Tennessee_Nashville,Tennessee,West,US,Tremfya,IL-23,623,54,11,558,Referral Required,405
M11,8/1/2025,Elevance Health (Anthem),Commercial,Managed Care,1L,Texas_South,Texas,North,US,ILUMYA,IL-23,123,53,5,65,Prior Authorization Required,105
M7,12/1/2025,Medicaid State Plans,Government,Medicaid,1L,Virginia_South,Virginia,East,US,ILUMYA,IL-23,474,327,16,131,Referral Required,346
M12,7/1/2025,Health Care Service Corporation,Commercial,Managed Care,2L,Virginia_North,Virginia,West,US,Stelara,IL-12/23,893,734,16,143,Referral Required,768
M8,11/1/2025,UnitedHealthcare,Commercial,Managed Care,3L+,Tennessee_Nashville,Tennessee,West,US,Tremfya,IL-23,513,105,40,368,Authorization Denied,431
M7,12/1/2025,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,1L,Virginia_North,Virginia,West,US,Cosentyx,IL-17A,935,789,43,103,Prior Authorization Required,795
M7,12/1/2025,Aetna,Commercial,Managed Care,3L+,Tennessee_Nashville,Tennessee,West,US,Cosentyx,IL-17A,727,557,9,161,Referral Required,603
M8,11/1/2025,Health Care Service Corporation,Commercial,Managed Care,1L,Washington_State,Washington,West,US,ILUMYA,IL-23,967,770,39,158,Referral Required,687
M6,1/1/2026,UnitedHealthcare,Commercial,Managed Care,2L,Virginia_South,Virginia,East,US,Cosentyx,IL-17A,941,181,24,736,Authorization Denied,668
M6,1/1/2026,Centene Corporation,Medicaid Managed Care,Medicaid,1L,Texas_South,Texas,North,US,BIMZLEX,IL-17A & IL-17F,765,458,22,285,Medical Records Requested,589
M2,5/1/2026,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,2L,Texas_South,Texas,North,US,BIMZLEX,IL-17A & IL-17F,846,330,10,506,Medical Records Requested,584
M2,5/1/2026,Molina Healthcare,Medicaid Managed Care,Medicaid,3L+,Tennessee_Nashville,Tennessee,West,US,Skyrizi,IL-23,320,228,19,73,Authorization Denied,272
M9,10/1/2025,Veterans Health Administration (VA),Government,Veterans/Federal,2L,Virginia_South,Virginia,East,US,BIMZLEX,IL-17A & IL-17F,583,64,39,480,Prior Authorization Required,501
M3,4/1/2026,Veterans Health Administration (VA),Government,Veterans/Federal,3L+,Virginia_North,Virginia,West,US,Skyrizi,IL-23,348,112,34,202,Referral Required,271
M8,11/1/2025,Express Scripts,PBM,Pharmacy Benefit,2L,Virginia_South,Virginia,East,US,Stelara,IL-12/23,757,308,3,446,Refill Too Soon,621
M9,10/1/2025,CareSource,Medicaid Managed Care,Medicaid,2L,Texas_South,Texas,North,US,BIMZLEX,IL-17A & IL-17F,728,594,24,110,Referral Required,561
M1,6/1/2026,CVS Caremark,PBM,Pharmacy Benefit,1L,Texas_South,Texas,North,US,Skyrizi,IL-23,706,119,41,546,Referral Required,508
M4,3/1/2026,Aetna,Commercial,Managed Care,1L,Washington_State,Washington,West,US,BIMZLEX,IL-17A & IL-17F,400,269,31,100,Referral Required,316
M11,8/1/2025,Centene Corporation,Medicaid Managed Care,Medicaid,3L+,Washington_State,Washington,West,US,Stelara,IL-12/23,463,360,43,60,Prior Authorization Required,324
M8,11/1/2025,Molina Healthcare,Medicaid Managed Care,Medicaid,2L,Texas_North,Texas,North,US,Stelara,IL-12/23,290,133,8,149,Authorization Denied,223
M10,9/1/2025,UnitedHealthcare,Commercial,Managed Care,2L,Texas_North,Texas,North,US,Stelara,IL-12/23,524,131,33,360,Authorization Denied,435
M7,12/1/2025,Aetna,Commercial,Managed Care,1L,Tennessee_Nashville,Tennessee,West,US,Humira,TNF,604,439,20,145,Medical Records Requested,453
M1,6/1/2026,Elevance Health (Anthem),Commercial,Managed Care,3L+,Washington_State,Washington,West,US,ILUMYA,IL-23,564,142,13,409,Authorization Denied,502
M2,5/1/2026,Centene Corporation,Medicaid Managed Care,Medicaid,1L,Virginia_North,Virginia,West,US,BIMZLEX,IL-17A & IL-17F,856,323,1,532,Refill Too Soon,556
M11,8/1/2025,Veterans Health Administration (VA),Government,Veterans/Federal,1L,Tennessee_Nashville,Tennessee,West,US,Humira,TNF,785,130,21,634,Refill Too Soon,542
M3,4/1/2026,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,3L+,Tennessee_Nashville,Tennessee,West,US,Humira,TNF,957,505,6,446,Authorization Denied,785
M12,7/1/2025,Centene Corporation,Medicaid Managed Care,Medicaid,2L,Virginia_North,Virginia,West,US,Skyrizi,IL-23,518,112,40,366,Medical Records Requested,425
M4,3/1/2026,Medicaid State Plans,Government,Medicaid,2L,Texas_South,Texas,North,US,Humira,TNF,252,89,1,162,Authorization Denied,209
M5,2/1/2026,Independence Blue Cross,Regional Health Plan,Managed Care,3L+,Virginia_North,Virginia,West,US,Cosentyx,IL-17A,695,274,13,408,Refill Too Soon,626
M7,12/1/2025,EmblemHealth,Regional Health Plan,Managed Care,1L,Virginia_North,Virginia,West,US,Stelara,IL-12/23,996,715,22,259,Referral Required,876
M4,3/1/2026,Elevance Health (Anthem),Commercial,Managed Care,3L+,Virginia_North,Virginia,West,US,Tremfya,IL-23,639,337,15,287,Medical Records Requested,460
M1,6/1/2026,Humana,Commercial,Medicare Advantage,3L+,Virginia_South,Virginia,East,US,Cosentyx,IL-17A,740,163,31,546,Refill Too Soon,570
M7,12/1/2025,Medicaid State Plans,Government,Medicaid,1L,Virginia_South,Virginia,East,US,Tremfya,IL-23,506,401,36,69,Prior Authorization Required,339
M4,3/1/2026,CVS Caremark,PBM,Pharmacy Benefit,1L,Virginia_North,Virginia,West,US,Tremfya,IL-23,252,113,44,95,Prior Authorization Required,179
M1,6/1/2026,Molina Healthcare,Medicaid Managed Care,Medicaid,3L+,Tennessee_Nashville,Tennessee,West,US,BIMZLEX,IL-17A & IL-17F,172,106,38,28,Authorization Denied,122
M12,7/1/2025,Blue Cross Blue Shield,Commercial,Managed Care,3L+,Texas_North,Texas,North,US,Humira,TNF,809,648,18,143,Referral Required,704
M11,8/1/2025,UnitedHealthcare,Commercial,Managed Care,1L,Texas_North,Texas,North,US,Cosentyx,IL-17A,319,98,24,197,Medical Records Requested,214
M9,10/1/2025,Molina Healthcare,Medicaid Managed Care,Medicaid,3L+,Virginia_North,Virginia,West,US,Skyrizi,IL-23,247,177,29,41,Medical Records Requested,203
M5,2/1/2026,WellCare,Medicare/Medicaid,Medicare Advantage,3L+,Tennessee_Nashville,Tennessee,West,US,BIMZLEX,IL-17A & IL-17F,874,59,43,772,Refill Too Soon,638
M1,6/1/2026,Elevance Health (Anthem),Commercial,Managed Care,2L,Virginia_South,Virginia,East,US,Skyrizi,IL-23,548,346,37,165,Authorization Denied,384
M1,6/1/2026,Express Scripts,PBM,Pharmacy Benefit,3L+,Virginia_North,Virginia,West,US,ILUMYA,IL-23,182,89,25,68,Prior Authorization Required,118
M1,6/1/2026,TRICARE,Government,Federal,2L,Washington_State,Washington,West,US,ILUMYA,IL-23,347,120,8,219,Refill Too Soon,278
M2,5/1/2026,UnitedHealthcare,Commercial,Managed Care,3L+,Texas_North,Texas,North,US,Cosentyx,IL-17A,253,103,30,120,Medical Records Requested,164
